"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","7740.000115","0.000000","0","0","0.000000","0.000","-1"
"1.20","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7820.000117","0.000000","0","0","0.000000","0.000","-1"
"2.30","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7860.000117","0.000000","0","0","0.000000","0.000","-1"
"3.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"4.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"5.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"6.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"7.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"8.40","45.00","0.300","0.00","0.00","60000.000894","0.000000000","7900.000118","0.000000","0","0","0.000000","0.000","-1"
"9.50","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8000.000119","0.000000","0","0","0.000000","0.000","-1"
"10.60","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8340.000124","0.000000","0","0","0.000000","0.000","-1"
"11.70","45.00","0.300","0.00","0.00","60000.000894","0.000000000","8700.000130","0.000000","0","0","0.000000","0.000","-1"
"12.80","45.00","0.300","0.00","0.00","60000.000894","0.000000000","9259.000138","0.000000","0","0","0.000000","0.000","-1"
"13.90","45.00","0.300","0.05","0.00","60000.000894","0.000000000","9747.000145","0.000000","0","0","0.000000","0.000","-1"
"15.00","45.00","0.296","5.31","0.00","60000.000894","0.000000000","10184.200152","0.000000","0","0","0.000000","0.000","-1"
"16.10","45.00","0.232","26.53","0.00","60000.000894","0.000000000","10261.400153","0.000000","0","0","0.000000","0.021","45"
"17.20","45.00","0.285","8.56","0.00","60000.000894","0.000000000","10679.200159","0.000000","0","0","0.000000","0.000","-1"
"18.30","45.00","0.242","91.82","0.00","60000.000894","0.000000000","10660.200159","0.000000","0","0","0.000000","0.000","-1"
